Name,Qualification,Experience,Languages,Expertise,Department,Designation,Description,Consultation Fee,Hospital Address,Hospital Phone,Not_Available_Days,Timings,Speciality Group
Dr. Azgar Abdul Rasheed,", Graduation from Government Medical College, Trivandrum, MD (Pediatrics), DM (Medical Oncology) from AIIMS, New Delhi",10,English,", Breast Cancer, Pediatric Cancer, Hematological malignancies, Sarcoma, GI malignancies","Medical Oncology, Oncology",Associate Consultant,"Dr. Azgar Abdul Rasheed who carries 10 years of experience with , Graduation from Government Medical College, Trivandrum, MD (Pediatrics), DM (Medical Oncology) from AIIMS, New Delhi is working in Medical Oncology, Oncology asAssociate Consultant and is an expert in , Breast Cancer, Pediatric Cancer, Hematological malignancies, Sarcoma, GI malignancies.",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Oncology & Hematology
Dr. B K Shailaja,"BAMS (VPSV Ayurveda College, Kottaikal, 1992)",33,"English, Hindi & Malayalam",Not Available,Ayurveda,Not Available,"Dr. B K Shailaja is a expert Ayurveda have qualification of BAMS (VPSV Ayurveda College, Kottaikal, 1992) currently working in Karuna Ayurvedic Centre.",300,"Karuna Ayurvedic Centre , Pallimukku, TVM Pettah., TVM Pettah, Thiruvananthapuram, 695024",-7912128204,All Days,15:30 - 19:00,Ayush
Dr. B N Sunil Kumar,"MDS - Orthodontics (KLE's Dental College & Hospital, Belgaum, 1998), BDS (Government Dental College , Trivandrum, Kerela university, 1990)",27,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. B N Sunil Kumar is an orthodontist. He has experience of almost three decades. Apart from Thiruvananthapuram, he also practices in Sharjah and Maldive",100,"Smile D'Sign Nano Orthodontic Dental Clinic , CV Raman Pillai Road, Vazhuthacaud, Palayam, Landmark: Near Women's College Road., Palayam, Thiruvananthapuram, None",-9242283969,Sunday,16:00 - 19:00,Dentistry
Dr. B PRAVEEN,"MBBS (Kerala University, 2004)",21,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. B PRAVEEN is a expert General Physician have qualification of MBBS (Kerala University, 2004) currently working in Welcare Hospital.",250,"Welcare Hospital , cx2h+rg4, vizhinjam, kovalam, kerala 695527, india, Kovalam Beach, Thiruvananthapuram, None",-7542451153,All Days,09:00 - 17:00,General Medicine
Dr. B. Prabha Kumari,"MBBS (Trivandram Medical College, 1983)",42,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,HI I am Dr. Prabhakumari,100,"Dr.B.Prabha Kumari , #8, Udayari Medical College Post Office, Kallmpally, Landmark: Opposite To Kallampalli Bus Stop., Sreekaryam, Thiruvananthapuram, None",-8676678467,Sunday,17:30 - 19:30,General Medicine
Dr. B.Sarada Devi,"MBBS (Thiruvananthapuram Medical College, 1965), DGO (Thiruvananthapuram Medical College, 1970), MD - Obstetrics & Gynaecology (Government Dental College , Trivandrum, Kerela university, 1972)",60,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. B.Sarada Devi is a expert General Physician have qualification of MBBS (Thiruvananthapuram Medical College, 1965), DGO (Thiruvananthapuram Medical College, 1970), MD - Obstetrics & Gynaecology (Government Dental College , Trivandrum, Kerela university, 1972) currently working in Dr.B.Sarada Devi Clinic.",500,"Dr.B.Sarada Devi Clinic , TC.13/1261(1), Kumarapuram, Landmark: Pothujanam., Kumarapuram, Thiruvananthapuram, None",-7781142719,Sunday,14:00 - 16:00,General Medicine
Dr. Babu George,", MBBS, DCh, M. Phil, PGDDN, Ph. D",25,"English, Malayalam & Hindi","Specialized procedures, mentoring, complex case management","Developmental Pediatrics, Pediatrics",Senior Consultant,"Dr. Babu George who carries 25 years of experience with , MBBS, DCh, M. Phil, PGDDN, Ph. D is working in Developmental Pediatrics, Pediatrics asSenior Consultant and is an expert in Specialized procedures, mentoring, complex case management.",1400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Babukuttan. C.V,"MBBS (Government Dental College , Trivandrum, Kerela university, 1989), MD - Dermatology (Government Dental College , Trivandrum, Kerela university, 1996)",36,"English, Hindi & Malayalam",Not Available,Dermatologist,Not Available,"Dr. Babukuttan. C.V is a expert Dermatologist have qualification of MBBS (Government Dental College , Trivandrum, Kerela university, 1989), MD - Dermatology (Government Dental College , Trivandrum, Kerela university, 1996) currently working in Dr. Babukuttan.C.V Clinic.",200,"Dr. Babukuttan.C.V Clinic , House No. 45, Bhaskara Temple Road, Sasthamangalam, Landmark: Opposite Sarvodaya Press., Sasthamangalam, Thiruvananthapuram, None",-9820407834,Sunday,15:00 - 19:00,Dermatology & Cosmetology
Dr. Bagatheesh S,", MBBS, DNB (Neurosurgery)",10,English - Malayalam,General clinical expertise,"Neurology, Neurosciences",Associate Consultant,"Dr. Bagatheesh S who carries 10 years of experience with , MBBS, DNB (Neurosurgery) is working in Neurology, Neurosciences asAssociate Consultant and is an expert in General clinical expertise.",400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Neurology & Neurosciences
Dr. Baneeta WJ,"BAMS (Pankajakasturi Ayurveda Medical College, Trivandrum, 2020)",5,"English, Hindi & Malayalam",Not Available,Ayurveda,Not Available,Dr. Baneeta is  a successful medical practitioner who treats human body with ayurvedic medicine & traditional treatment,500,"Mini Ayur Clinic  , Minicottage Pazhayakada, Neyyattinkara, Thiruvananthapuram, 695027",-7410542679,All Days,18:00 - 21:00,Ayush
Dr. Bejoy Gomez,"BDS (Kasturba Medical  College, 1990)",35,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Bejoy Gomez is a expert Dentist have qualification of BDS (Kasturba Medical  College, 1990) currently working in Classic Dental Care.",200,"Classic Dental Care , TC-13/647, LVMRA 145, Miranda Junction, Thampuran Mukku, Law College-Varambassery Road, PMG Jn, Thiruvananthapuram, 695035",-9391156200,Sunday,16:00 - 19:00,Dentistry
Dr. Benoy Stanly,", BDS, MDS",16,"English, Malayalam & Hindi",", Maxillofacial Surgeon","Dental, Clinical, Oral & Maxillofacial Surgery",Consultant & Coordinator,"Dr. Benoy Stanly who carries 16 years of experience with , BDS, MDS is working in Dental, Clinical, Oral & Maxillofacial Surgery asConsultant & Coordinator and is an expert in , Maxillofacial Surgeon.",600,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Dentistry
Dr. Bharath V M,", MBBS, MS ( General Surgery ), M.Ch ( Surgical Oncology ), Fellowship in International College of Robotic Surgeons, Fellowship in Minimal Access Oncosurgery, FRCS ( Edinburgh ), FEBS ( Surgical Oncology )",15,English,", Colorectal and gastric malignancies, Breast and sarcoma and gynaecological malignancies, Vascular access – chemoport insertions, Minimal access in Oncosurgeries","Surgical Oncology, Oncology, Oncology",Consultant,"Dr. Bharath V M who carries 15 years of experience with , MBBS, MS ( General Surgery ), M.Ch ( Surgical Oncology ), Fellowship in International College of Robotic Surgeons, Fellowship in Minimal Access Oncosurgery, FRCS ( Edinburgh ), FEBS ( Surgical Oncology ) is working in Surgical Oncology, Oncology, Oncology asConsultant and is an expert in , Colorectal and gastric malignancies, Breast and sarcoma and gynaecological malignancies, Vascular access – chemoport insertions, Minimal access in Oncosurgeries.",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Oncology & Hematology
Dr. Bhavya Babu,"BSMS (Kerala University, 2012)",13,"English, Hindi & Malayalam",Not Available,Siddha,Not Available,DR Bhavya Babu working in vibrance spa and wellness centre,300,"Vibrance Ayurvedic Wellness Centre , 1st Floor, Chitra Multi Speciality Dental Clinic, Aakkulam Road, Sreekaryam, Thiruvananthapuram, 695017",-7447088378,Wednesday,09:00 - 18:00,Ayush
Dr. Bhavya S,", MBBS, DCH, DNB ( Pediatrics)",15,"Malayalam, English & Tamil",", Pediatric critical care, Pediatric respiratory diseases",Pediatrics,Consultant,"Dr. Bhavya S who carries 15 years of experience with , MBBS, DCH, DNB ( Pediatrics) is working in Pediatrics asConsultant and is an expert in , Pediatric critical care, Pediatric respiratory diseases.",1100,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Bhuvanesh M,", MBBS, MD (Internal Medicine), DM (Rheumatology)",15,"English, Malayalam, Hindi & Tamil",", Rheumatoid arthritis, Ankylosing spondylitis and other spondyloarthritis, Psoriatic arthritis, Systemic Lupus Erythematosus, Systemic Sclerosis, Vasculitis Myositis, Paediatric Rheumatic disorders, Rheumatic complications during pregnancy and lactation, Use of Biologic agents, Intra, articular injections","Rheumatology & Clinical Immunology, Rheumatology",Consultant,"Dr. Bhuvanesh M who carries 15 years of experience with , MBBS, MD (Internal Medicine), DM (Rheumatology) is working in Rheumatology & Clinical Immunology, Rheumatology asConsultant and is an expert in , Rheumatoid arthritis, Ankylosing spondylitis and other spondyloarthritis, Psoriatic arthritis, Systemic Lupus Erythematosus, Systemic Sclerosis, Vasculitis Myositis, Paediatric Rheumatic disorders, Rheumatic complications during pregnancy and lactation, Use of Biologic agents, Intra, articular injections.",600,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Rheumatology
Dr. Bibilash Babu,"MBBS (Government Thiruvannamalai Medical College, Thiruvannamalai, 2007), Fellowship in Cosmetic Surgery (SICOT, Belgium, 2017), MCh - Plastic Surgery (Pondicherry University, 2016), MS - General Surgery (Govt Medical college  Trivandrum, 2013)",18,"English, Hindi & Malayalam",Not Available,Plastic Surgeon,Not Available,"Dr. Bibilash Babu is a expert Plastic Surgeon have qualification of MBBS (Government Thiruvannamalai Medical College, Thiruvannamalai, 2007), Fellowship in Cosmetic Surgery (SICOT, Belgium, 2017), MCh - Plastic Surgery (Pondicherry University, 2016), MS - General Surgery (Govt Medical college  Trivandrum, 2013) currently working in Cosmetiq Clinic.",250,"Cosmetiq Clinic , chackai chackai-pettah main road, opposite to the syndicate bank, kerala 695024, india, Cheruvikkal, Thiruvananthapuram, None",-8685461638,Sunday,09:00 - 16:00,Plastic & Reconstructive Surgery
Dr. Bibin Thomas George,"BDS (Vinayaka Missions Sankarachariyar Dental College, 1998), MDS - Periodontics (University of kerala, 2003)",27,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Dr. Bibin Thomas George is a expert Dentist have qualification of BDS (Vinayaka Missions Sankarachariyar Dental College, 1998), MDS - Periodontics (University of kerala, 2003) currently working in Choice Multi Speciality Dental Clinic.",150,"Choice Multi Speciality Dental Clinic , Aswathy Plaza, 1st Floor, Pattoor, Vanchiyur P.O. Landmark: Above the post office., Vanchiyur, Thiruvananthapuram, None",-9201041509,Sunday,09:30 - 18:30,Dentistry
Dr. Bijay P. Nair,", MD, MPH, ABIM (Hematology, Medical Oncology, Internal Medicine)",12,English & Malayalam,", Malignant and Benign Hematology, Bone marrow Transplant, Cellular Therapy, special expertise in multiple myeloma.","Clinical Hematology and Bone Marrow Transplant, Medical Oncology, Oncology, Hematology Clinic",Specialist,"Dr. Bijay P. Nair who carries 12 years of experience with , MD, MPH, ABIM (Hematology, Medical Oncology, Internal Medicine) is working in Clinical Hematology and Bone Marrow Transplant, Medical Oncology, Oncology, Hematology Clinic asSpecialist and is an expert in , Malignant and Benign Hematology, Bone marrow Transplant, Cellular Therapy, special expertise in multiple myeloma..",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Oncology & Hematology
Dr. Biju C Nair,"FNB Critical Care, MD, DA",19,"English, Malayalam, Hindi",#NAME?,Critical Care,HOD,"Dr. Biju C Nair who carries 19 years of experience with FNB Critical Care, MD, DA is working as HOD in Critical Care and is an expert in - Medical and surgical critical care
- Mechanical ventilator
- CRRT
- ECMO
.",1200,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Biju M Nayar,"MCh - Plastic Surgery (Govt Medical College Thiruvananthapuram, 2009), MS - General Surgery (G R MEDICAL COLLEGE, GWALIOR, 2006)",16,"English, Hindi & Malayalam",Not Available,Plastic Surgeon,Not Available,"Board certified Plastic Surgeon with extensive training in Aesthetic Surgery and Microsurgery.

Specialized in Liposuction, Gynecomastia correction and Hair loss treatment",350,"Trueself Aesthetic Makeovers , Ground Floor, Kailas Plaza, Pattom, Thiruvananthapuram, 695004",-9918142270,All Days,09:00 - 19:00,Plastic & Reconstructive Surgery
Dr. Biju Sebastian,", BDS, MDS",20,"English, Malayalam & Hindi",", Fixed Appliance Therapy, Aesthetic bracket systems (Ceramic bracket systems, Lingual Orthodontics), Orthodontic Mini, implants, Functional Appliance Therapy, Orthognathic surgical orthodontics, Cleft lip and palate correction, Clear Aligner Therapy","Dental, Clinical, Oral & Maxillofacial Surgery",Hon Consultant,"Dr. Biju Sebastian who carries 20 years of experience with , BDS, MDS is working in Dental, Clinical, Oral & Maxillofacial Surgery asHon Consultant and is an expert in , Fixed Appliance Therapy, Aesthetic bracket systems (Ceramic bracket systems, Lingual Orthodontics), Orthodontic Mini, implants, Functional Appliance Therapy, Orthognathic surgical orthodontics, Cleft lip and palate correction, Clear Aligner Therapy.",600,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Dentistry
Dr. Bimal John,"MBBS (Kasturba Medical  College, 1999), MS - Obstetrics & Gynaecology (M S Ramaiah Medical College, Bangalore, 2004)",26,"English, Hindi & Malayalam",Not Available,Gynecologist/Obstetrician,Not Available,"Dr. Bimal John is a Senior Consultant Laparoscopic Surgeon and specialist in Assisted Reproduction Technology (ART) with over 12 years of clinical experience. He has obtained his fellowship in advanced endoscopic surgery from the renowned Clermont Ferrand University in France and underwent further training at the International School of Surgical Anatomy (ISSA) in Verona, Italy and the Kiel School of Gynecological Surgery, Germany. He is also a faculty and presenter at the American Association of Gynecological Laparoscopists (AAGL) annual meetings since 2009. He is the reviewer for the prestigious Journal of Minimally Invasive Gynecology (JMIG). He has contributed several research papers, reviews, book chapters and published several informative articles on gynaecological disorders. He won the Gold medal at the Asia Pacific International Hysteroscopy Congress 2018 for the best oral presentation. He is actively involved in Endometriosis research as well as in patient education, and runs the Facebook patient's group Endometriosis India.",200,"Credence Specialty Clinic , 6th Floor, Credence Hospital, Ulloor,, Ulloor, Thiruvananthapuram, 695011",-7325146882,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. Bindu Gopinathan Nair,"MBBS (Kerala University, 1995)",30,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Bindu Gopinathan Nair is a expert General Physician have qualification of MBBS (Kerala University, 1995) currently working in SRI RAMAKRISHNA ASHRAMA HOSPITAL.",250,"SRI RAMAKRISHNA ASHRAMA HOSPITAL , 9/1651 sasthamangalam office building hospital road, near hospital junction, sasthamangalam, thiruvananthapuram, kerala 695010, india, Kanjirampara, Thiruvananthapuram, None",-9047809169,All Days,09:00 - 17:00,General Medicine
Dr. Bindu P S,"MBBS, DGO",25,"Malayalam, English, Hindi",#NAME?,Obstetrics & Gynaecology,Consultant,"Dr. Bindu P S who carries 25 years of experience with MBBS, DGO is working as Consultant in Obstetrics & Gynaecology and is an expert in - High risk obstetrics care
- Infertility
- Laparoscopy
.",1000,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. Bindu Purushothaman,", Fellowship in Minimal Access Surgery (FMAS), MD(O&G), DGO, MBBS",20,English & Malayalam,", Total lap Hysterectomy, Lap sterilization, Surgeries for vault prolapse, Lap ovarian cystectomy",Obstetrics & Gynecology,Hon Consultant,"Dr. Bindu Purushothaman who carries 20 years of experience with , Fellowship in Minimal Access Surgery (FMAS), MD(O&G), DGO, MBBS is working in Obstetrics & Gynecology asHon Consultant and is an expert in , Total lap Hysterectomy, Lap sterilization, Surgeries for vault prolapse, Lap ovarian cystectomy.",600,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. Bindu. R,"MBBS (Government Dental College , Trivandrum, Kerela university, 1990), DGO (Trivandram Medical College, 1997)",35,"English, Hindi & Malayalam",Not Available,Gynecologist/Obstetrician,Not Available,"Dr. Bindu. R is a expert Gynecologist/Obstetrician have qualification of MBBS (Government Dental College , Trivandrum, Kerela university, 1990), DGO (Trivandram Medical College, 1997) currently working in Dr.R. Bindu Clinic.",200,"Dr.R. Bindu Clinic , Mazhuthammkuzhi Road, Sasthamanagalam, Landmark: Mazhuthamkuzhi Junction., Sasthamangalam, Thiruvananthapuram, None",-8114679405,Sunday,16:00 - 19:00,Gynecology & Obstetrics
Dr. Binish Paul,", MBBS, DMRD, DNB",15,"English, Malayalam & Hindi",", Ultrasound, Conventional Radiography, CT & MRI",Imaging & Interventional Radiology,Consultant,"Dr. Binish Paul who carries 15 years of experience with , MBBS, DMRD, DNB is working in Imaging & Interventional Radiology asConsultant and is an expert in , Ultrasound, Conventional Radiography, CT & MRI.",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Radiology & Imaging
Dr. Binoy K R   (Physiotherapist),"BPTh/BPT (Trinity Mission And Medical Foundation., 1999)",26,"English, Hindi & Malayalam",Not Available,Physiotherapist,Not Available,"Dr. Binoy K R   (Physiotherapist) is a expert Physiotherapist have qualification of BPTh/BPT (Trinity Mission And Medical Foundation., 1999) currently working in Physio Care Clinic.",200,"Physio Care Clinic , Welcare Building, City Plaza., TV Medical College, Thiruvananthapuram, 695011",-7264376051,All Days,09:00 - 19:00,Orthopedics & Physiotherapy
Dr. Binu Abraham,"BDS (University Of Mysore, India, 1992), Membership of the Faculty of Dental Surgeons(MFDS) (Royal College of Physicians and Surgeons (RCPS), Glasgow, 2006)",33,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"Qualified in 1992 from the University of Mysore , Dr Binu had been in general dental practice for almost two decades, He is a Member of the faculty of general dental practice of the Royal College Of Surgeons Of England UK and also a member of the faculty of dental surgery of the Royal College Of Physicians And Surgeons Of Glasgow UK . He was working in England before joining a prestigious medical centre in Dubai where he had worked for many years. 
With years of international experience Dr Binu enjoys providing high quality general and cosmetic dental services to his patients. He has special talent for handling children and young adults which made him very popular among pediatric patients. Dr Binu is available for consultation on all days except Sundays. 
for appointments  http://www.drabrahamsdentalcare.com/index.php",100,"Dr Abrahams Dental Care , #307/A, Amma Towers,Pattom P.O, Thekkummodu Road., Pattom, Thiruvananthapuram, 695004",-9604639834,Sunday,09:30 - 19:00,Dentistry
Dr. Binu Bright,"MBBS, MD, DNB, MNAMS, FCCM, MD (Emergency Medicine), DNB (Emergency Medicine)",10,"Malayalam, English",#NAME?,Emergency Medicine,Consultant and HOD,"Dr. Binu Bright who carries 10 years of experience with MBBS, MD, DNB, MNAMS, FCCM, MD (Emergency Medicine), DNB (Emergency Medicine) is working as Consultant and HOD in Emergency Medicine and is an expert in - Resuscitation
- Acute medicine
- Trauma care
- Paediatric emergencies
- Toxicology
- Medical research
.",1100,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Bismi,"MBBS (Government Medical College,Thiruvananthapuram, 1997), DNB - Dermatology & Venereology (Government Medical College,Thiruvananthapuram, 2008)",28,"English, Hindi & Malayalam",Not Available,Dermatologist,Not Available,"Dr. Bismi Sherief, DNB (D&V)

Qualifications:

MBBS from Govt. Medical College, Trivandrum
DNB (D&V) from Govt. Medical College, Trivandrum

Conferences & CMEs attended:

1.CME on “Dermatological Therapy- Challenges & Breakthroughs”
Dept. of Dermatology & Venereology, MCH, Trivandrum on 9.3.2008
2.CME on “Leprosy Rehabilitation”
Dept. of Community Medicine, MCH, Trivandrum on 26.07.2008
3.CME on “HIV & AIDS” at Trivandrum on 04. 12. 2008
4.CME on “Leprosy- Prevention of Deformities & Rehabilitation” at Trivandrum on 18.04.2009
5.IADVL Midyear conference CUTICON KERALA 2009 at Alappuzha on 08.11.2009
IADVL Annual State Conference CUTICON KERALA 2010on 8th and 9th May 2010 at Kannur
IADVL Annual State Conference CUTICON KERALA 2011 on 7th and 8th May 2011 at Kochi
IADVL Annual State Conference CUTICON KERALA 2014 on 17th and 18th May 2014 at Kollam
6.EADV India 2010 Knowledge Exchange Initiative on 11.03.2010 at Trivandrum
7.CME on “Clinical Dermatology-Challenges and Controversies” on 14.03.2010 at Trivandrum
8.CME on Recent Advances in Dermatology on 27.06.2010 at Trivandrum
9.IADVL South Zone conference “ Dermazone South 2010 at Mysore, August 13th to 15th 2010
Training Programmes:

1.Training Programme on “Infectious Diseases Prevention” by State Prevention of Epidemics and Infectious diseases cell on 08.07.2008 at Trivandrum
2.Workshop on Autologous Fat Transplantation and Threadlift at YCDC on 6th & 7th April 2014
Presentations:

Won 3rd prize for the paper “WHITE PLAGUE- A KALEIDOSCOPE OF CUTANEOUS MANIFESTATIONS” – presented at the IADVL South ZONE conference DERMAZONE SOUTH 2010 at Mysore on14/08/2010
",550,"Yogiraj Centre for Dermatology & Cosmetology , Kumarapuram Road, Pattom, Thiruvananthapuram, 695004",-8465146897,All Days,00:00 - 21:00,Dermatology & Cosmetology
Dr. Bismi M.,"MBBS (Kerala University Of Health Sciences, 2016), DNB (Government Medical College, Thiruvananthapuram, 2008), M.B.B.S (Government Medical College, Thiruvananthapuram, 1997)",9,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Bismi M. is a expert General Physician have qualification of MBBS (Kerala University Of Health Sciences, 2016), DNB (Government Medical College, Thiruvananthapuram, 2008), M.B.B.S (Government Medical College, Thiruvananthapuram, 1997) currently working in Yogiraj Centre for Dermatology & Cosmetology.",450,"Yogiraj Centre for Dermatology & Cosmetology , Kumarapuram Road, Pattom, Thiruvananthapuram, 695004",-7577489900,All Days,00:00 - 21:00,General Medicine
Dr. Bobby Iype,MD/MS + Fellowship or DM/MCh,25,English,"Specialized procedures, mentoring, complex case management","Neurosurgery, Neurosciences",Senior Consultant,"Dr. Bobby Iype who carries 25 years of experience with MD/MS + Fellowship or DM/MCh is working in Neurosurgery, Neurosciences asSenior Consultant and is an expert in Specialized procedures, mentoring, complex case management.",1000,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Neurology & Neurosciences
Dr. Boon Mathew,"MBBS (Kerala University, 2012), MD (General medicine) (Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), 1971)",13,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Boon Mathew is a expert General Physician have qualification of MBBS (Kerala University, 2012), MD (General medicine) (Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), 1971) currently working in Dr. Mathews Clinic.",200,"Dr. Mathews Clinic , Adimathra, Paruthipara, Pattom P.O, Paruthippara, Thiruvananthapuram, 695011",-9926847243,Sunday,09:00 - 19:00,General Medicine
Dr. Brenda Renu Benjamin,"BDS (Indira Gandhi Institute of Dental Sciences, Kothamangalam, 2013)",12,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,Dr Brenda Renu Benjamin Ambitious and  qualified dentist with excellent organizational and interpersonal skills and responsibility,100,"Kamala Dental Specialty Hospital , Sree Mulam Club Junction, Vazhuthacaud, Cotton Hill, Thiruvananthapuram, 695014",-8124206118,All Days,09:00 - 20:00,Dentistry
Dr. Brinda Sabu,"MBBS, DGO, DNB, MNAMS(OBG), FRCOG (UK), Post Doctoral Fellowship in Fetal Medicine MRCOG from RCOG, London in 2005. Post Doctoral Fellowship in Fetal medicine (Mediscan systems) in 2019 Elevated as FRCOG in 2020",25,"English, Malayalam, Tamil & Hindi","11 years in Obstetrics and Gynaecology and 3 years in the area of Fetal Medicine Expert in the First trimester, Early and Targeted anomaly scans Fetal Echocardiogram and Fetal Neurosonogram Evaluation of the small fetus Evaluation of twin pregnancies and higher, order multiples Growth/Biophysical profile/ Doppler studies Preconception and Genetic counselling Prenatal diagnostic testing and fetal therapeutic procedures","High Risk Pregnancy & Fetal Medicine, Obstetrics & Gynecology",Senior Consultant,"Dr. Brinda Sabu who carries 25 years of experience with MBBS, DGO, DNB, MNAMS(OBG), FRCOG (UK), Post Doctoral Fellowship in Fetal Medicine MRCOG from RCOG, London in 2005. Post Doctoral Fellowship in Fetal medicine (Mediscan systems) in 2019 Elevated as FRCOG in 2020 is working in High Risk Pregnancy & Fetal Medicine, Obstetrics & Gynecology asSenior Consultant and is an expert in 11 years in Obstetrics and Gynaecology and 3 years in the area of Fetal Medicine Expert in the First trimester, Early and Targeted anomaly scans Fetal Echocardiogram and Fetal Neurosonogram Evaluation of the small fetus Evaluation of twin pregnancies and higher, order multiples Growth/Biophysical profile/ Doppler studies Preconception and Genetic counselling Prenatal diagnostic testing and fetal therapeutic procedures.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. C Alex Thomas,"MBBS (Kasturba Medical  College, 1967), MS - Ophthalmology (Government Dental College , Trivandrum, Kerela university, 1977), DO (Government Dental College, Calicut, 1972)",58,"English, Hindi & Malayalam",Not Available,Ophthalmologist,Not Available,"Dr. C Alex Thomas is a expert Ophthalmologist have qualification of MBBS (Kasturba Medical  College, 1967), MS - Ophthalmology (Government Dental College , Trivandrum, Kerela university, 1977), DO (Government Dental College, Calicut, 1972) currently working in Dr. C Alex Thomas Eye Clinic.",200,"Dr. C Alex Thomas Eye Clinic , Chackalayil TC-15/4263, LIC Extn(a) Lane, Pattom, Landmark: Opposite St. Mary's Church., Pattom, Thiruvananthapuram, None",-8800807151,Sunday,16:00 - 19:00,Ophthalmology
Dr. C P John,"BDS (Government Dental College , Trivandrum, Kerela university, 1976)",49,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,Dr C P John  in the field of dentistry since 1976.,200,"Dr Johns Dental Centre , Pazhaya Road, Opp. HDFC Bank, Medical College P.O., TV Medical College, Thiruvananthapuram, 695004",-7324922275,Sunday,14:00 - 19:00,Dentistry
Dr. Chacko Ramacha M,", MBBS – Trivandrum medical College, DA – Trivandrum Medical college 1st Batch",25,English - Malayalam,", Anaesthesia for newborns, children and adolescents",Anaesthesiology,Senior Consultant,"Dr. Chacko Ramacha M who carries 25 years of experience with , MBBS – Trivandrum medical College, DA – Trivandrum Medical college 1st Batch is working in Anaesthesiology asSenior Consultant and is an expert in , Anaesthesia for newborns, children and adolescents.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Anesthesiology
